review_text,rating,helpful_yes,helpful_total,Time
Not satisfied with the quality,2,6,31,1334769420
Not satisfied with the quality,3,5,11,1334845173
"Terrible experience, would not recommend",5,10,47,1334920927
"Great product, works perfectly",5,11,41,1334996680
"Great product, works perfectly",1,25,26,1335072434
Fast delivery and excellent quality,4,9,9,1335148187
Exceeded my expectations,3,12,45,1335223940
"Great product, works perfectly",2,11,41,1335299694
Very good quality and value for money,2,30,31,1335375447
Packaging was damaged but product works,3,20,41,1335451200
Packaging was damaged but product works,5,9,25,1335526954
Very good quality and value for money,3,19,24,1335602707
Exceeded my expectations,4,1,10,1335678461
Not satisfied with the quality,5,3,22,1335754214
Fast delivery and excellent quality,3,27,33,1335829967
Packaging was damaged but product works,5,23,39,1335905721
"Average product, nothing special",5,4,22,1335981474
"Poor build quality, stopped working",3,4,28,1336057228
Fast delivery and excellent quality,4,28,30,1336132981
Exceeded my expectations,3,3,6,1336208734
"Average product, nothing special",3,11,39,1336284488
"Great product, works perfectly",1,1,32,1336360241
Very good quality and value for money,4,17,20,1336435995
"Great product, works perfectly",4,0,1,1336511748
"Terrible experience, would not recommend",1,12,17,1336587501
Decent product for the price,3,38,46,1336663255
Very good quality and value for money,5,8,32,1336739008
"Average product, nothing special",2,21,36,1336814761
"Poor build quality, stopped working",2,4,33,1336890515
Decent product for the price,4,11,19,1336966268
"Terrible experience, would not recommend",5,0,34,1337042022
Not satisfied with the quality,2,43,49,1337117775
"Terrible experience, would not recommend",4,5,17,1337193528
Decent product for the price,5,18,45,1337269282
Packaging was damaged but product works,2,15,23,1337345035
Fast delivery and excellent quality,5,6,7,1337420789
Exceeded my expectations,3,18,29,1337496542
"Great product, works perfectly",4,2,43,1337572295
Not satisfied with the quality,4,6,9,1337648049
Exceeded my expectations,4,9,22,1337723802
"Terrible experience, would not recommend",1,17,48,1337799556
"Poor build quality, stopped working",5,9,10,1337875309
"Great product, works perfectly",3,0,1,1337951062
Not satisfied with the quality,2,25,25,1338026816
Exceeded my expectations,1,17,35,1338102569
"Great product, works perfectly",4,2,32,1338178323
"Great product, works perfectly",4,22,46,1338254076
Not satisfied with the quality,1,2,12,1338329829
"Average product, nothing special",4,24,39,1338405583
Fast delivery and excellent quality,2,11,24,1338481336
"Average product, nothing special",4,2,3,1338557089
"Great product, works perfectly",2,26,41,1338632843
Decent product for the price,4,6,18,1338708596
Very good quality and value for money,3,7,17,1338784350
Decent product for the price,5,8,36,1338860103
Not satisfied with the quality,2,13,29,1338935856
"Great product, works perfectly",3,4,18,1339011610
"Great product, works perfectly",2,20,22,1339087363
"Poor build quality, stopped working",5,2,15,1339163117
Fast delivery and excellent quality,5,0,0,1339238870
"Poor build quality, stopped working",3,4,11,1339314623
Not satisfied with the quality,4,15,23,1339390377
Packaging was damaged but product works,5,23,33,1339466130
"Average product, nothing special",4,3,7,1339541884
"Poor build quality, stopped working",4,3,17,1339617637
Not satisfied with the quality,2,39,47,1339693390
"Average product, nothing special",1,4,4,1339769144
Not satisfied with the quality,5,13,25,1339844897
Packaging was damaged but product works,5,20,29,1339920651
Fast delivery and excellent quality,4,12,12,1339996404
Fast delivery and excellent quality,3,9,18,1340072157
Not satisfied with the quality,3,17,28,1340147911
"Poor build quality, stopped working",5,0,2,1340223664
Fast delivery and excellent quality,5,3,25,1340299417
Very good quality and value for money,5,7,39,1340375171
"Poor build quality, stopped working",5,7,11,1340450924
Exceeded my expectations,4,0,1,1340526678
"Terrible experience, would not recommend",1,0,10,1340602431
Not satisfied with the quality,2,20,43,1340678184
Not satisfied with the quality,5,24,27,1340753938
Not satisfied with the quality,4,10,17,1340829691
Packaging was damaged but product works,1,11,12,1340905445
Not satisfied with the quality,2,26,36,1340981198
Fast delivery and excellent quality,4,15,21,1341056951
Fast delivery and excellent quality,1,6,11,1341132705
"Terrible experience, would not recommend",2,1,1,1341208458
"Terrible experience, would not recommend",4,32,36,1341284212
Decent product for the price,4,6,6,1341359965
"Poor build quality, stopped working",4,15,25,1341435718
Fast delivery and excellent quality,2,14,25,1341511472
Fast delivery and excellent quality,5,5,23,1341587225
Packaging was damaged but product works,2,11,11,1341662978
Fast delivery and excellent quality,3,7,15,1341738732
Fast delivery and excellent quality,5,6,22,1341814485
Decent product for the price,4,33,39,1341890239
Very good quality and value for money,5,4,8,1341965992
Decent product for the price,4,13,31,1342041745
Very good quality and value for money,4,10,14,1342117499
Decent product for the price,1,8,36,1342193252
Fast delivery and excellent quality,3,9,12,1342269006
Decent product for the price,3,0,4,1342344759
Fast delivery and excellent quality,2,5,10,1342420512
Fast delivery and excellent quality,5,2,9,1342496266
"Terrible experience, would not recommend",3,10,12,1342572019
"Great product, works perfectly",5,40,40,1342647773
Very good quality and value for money,4,28,45,1342723526
Exceeded my expectations,5,5,49,1342799279
"Poor build quality, stopped working",4,10,14,1342875033
"Poor build quality, stopped working",4,24,41,1342950786
Decent product for the price,4,0,6,1343026540
"Great product, works perfectly",2,23,39,1343102293
Packaging was damaged but product works,5,24,27,1343178046
Exceeded my expectations,3,15,31,1343253800
"Poor build quality, stopped working",1,15,34,1343329553
"Average product, nothing special",4,5,14,1343405306
Not satisfied with the quality,2,36,47,1343481060
"Average product, nothing special",5,20,35,1343556813
Packaging was damaged but product works,5,3,20,1343632567
Exceeded my expectations,5,1,5,1343708320
"Poor build quality, stopped working",3,0,0,1343784073
Decent product for the price,1,3,3,1343859827
Not satisfied with the quality,5,5,10,1343935580
Very good quality and value for money,3,40,43,1344011334
"Poor build quality, stopped working",5,16,25,1344087087
"Poor build quality, stopped working",5,13,36,1344162840
Packaging was damaged but product works,5,6,22,1344238594
"Poor build quality, stopped working",3,21,28,1344314347
Exceeded my expectations,3,18,20,1344390101
"Great product, works perfectly",5,0,47,1344465854
Exceeded my expectations,3,28,44,1344541607
Very good quality and value for money,2,30,44,1344617361
"Great product, works perfectly",4,29,48,1344693114
"Poor build quality, stopped working",5,24,26,1344768868
"Poor build quality, stopped working",4,14,38,1344844621
Not satisfied with the quality,4,17,39,1344920374
"Poor build quality, stopped working",1,2,12,1344996128
Fast delivery and excellent quality,4,17,22,1345071881
Very good quality and value for money,5,13,15,1345147634
"Terrible experience, would not recommend",2,1,29,1345223388
Decent product for the price,4,1,3,1345299141
Not satisfied with the quality,5,10,39,1345374895
"Average product, nothing special",5,10,15,1345450648
"Great product, works perfectly",4,23,30,1345526401
"Terrible experience, would not recommend",5,34,41,1345602155
Decent product for the price,3,6,24,1345677908
"Poor build quality, stopped working",3,7,43,1345753662
Exceeded my expectations,5,2,11,1345829415
Fast delivery and excellent quality,5,17,25,1345905168
"Great product, works perfectly",5,12,36,1345980922
"Great product, works perfectly",5,44,47,1346056675
"Great product, works perfectly",4,23,32,1346132429
Very good quality and value for money,4,18,27,1346208182
"Great product, works perfectly",5,6,8,1346283935
Not satisfied with the quality,4,11,11,1346359689
Decent product for the price,5,0,4,1346435442
Exceeded my expectations,5,27,27,1346511195
Not satisfied with the quality,5,21,34,1346586949
Not satisfied with the quality,3,3,4,1346662702
Fast delivery and excellent quality,3,27,33,1346738456
Exceeded my expectations,1,12,45,1346814209
Fast delivery and excellent quality,4,24,33,1346889962
"Great product, works perfectly",1,11,12,1346965716
"Great product, works perfectly",4,6,38,1347041469
Not satisfied with the quality,4,5,41,1347117223
Not satisfied with the quality,3,23,44,1347192976
"Great product, works perfectly",4,18,47,1347268729
Packaging was damaged but product works,1,2,13,1347344483
Decent product for the price,1,3,10,1347420236
Very good quality and value for money,5,8,41,1347495990
"Terrible experience, would not recommend",3,35,37,1347571743
"Poor build quality, stopped working",2,1,3,1347647496
"Average product, nothing special",4,28,32,1347723250
Exceeded my expectations,5,6,6,1347799003
Fast delivery and excellent quality,2,4,40,1347874757
Exceeded my expectations,4,4,7,1347950510
"Great product, works perfectly",1,25,36,1348026263
"Terrible experience, would not recommend",1,6,9,1348102017
"Average product, nothing special",4,28,42,1348177770
Not satisfied with the quality,4,3,14,1348253523
Not satisfied with the quality,4,5,37,1348329277
Fast delivery and excellent quality,5,6,14,1348405030
Decent product for the price,5,4,4,1348480784
"Poor build quality, stopped working",4,20,28,1348556537
Decent product for the price,3,17,18,1348632290
"Terrible experience, would not recommend",5,6,9,1348708044
Decent product for the price,3,11,11,1348783797
Fast delivery and excellent quality,3,1,3,1348859551
"Average product, nothing special",1,26,30,1348935304
"Average product, nothing special",1,0,17,1349011057
"Average product, nothing special",5,3,15,1349086811
Not satisfied with the quality,5,34,39,1349162564
Packaging was damaged but product works,4,22,35,1349238318
"Terrible experience, would not recommend",3,19,24,1349314071
"Poor build quality, stopped working",2,7,22,1349389824
"Terrible experience, would not recommend",2,10,11,1349465578
"Terrible experience, would not recommend",3,15,33,1349541331
Decent product for the price,4,2,35,1349617085
Very good quality and value for money,5,31,36,1349692838
"Terrible experience, would not recommend",4,0,2,1349768591
Fast delivery and excellent quality,3,3,8,1349844345
Very good quality and value for money,5,13,17,1349920098
Packaging was damaged but product works,5,31,42,1349995851
Fast delivery and excellent quality,4,25,34,1350071605
"Terrible experience, would not recommend",4,5,33,1350147358
Exceeded my expectations,3,35,40,1350223112
Not satisfied with the quality,2,7,13,1350298865
Decent product for the price,3,2,3,1350374618
"Great product, works perfectly",5,26,28,1350450372
"Poor build quality, stopped working",1,4,40,1350526125
"Poor build quality, stopped working",2,12,44,1350601879
Fast delivery and excellent quality,1,31,49,1350677632
"Poor build quality, stopped working",1,0,14,1350753385
Very good quality and value for money,5,12,27,1350829139
"Average product, nothing special",5,10,41,1350904892
Exceeded my expectations,4,4,15,1350980646
"Great product, works perfectly",1,7,11,1351056399
"Poor build quality, stopped working",4,0,4,1351132152
"Poor build quality, stopped working",4,31,33,1351207906
Fast delivery and excellent quality,2,23,41,1351283659
"Terrible experience, would not recommend",3,0,0,1351359413
Not satisfied with the quality,3,27,38,1351435166
Decent product for the price,4,13,31,1351510919
Decent product for the price,4,12,25,1351586673
Decent product for the price,1,2,16,1351662426
Decent product for the price,3,35,47,1351738179
Packaging was damaged but product works,4,26,26,1351813933
"Great product, works perfectly",4,19,23,1351889686
"Terrible experience, would not recommend",5,14,34,1351965440
Not satisfied with the quality,4,26,45,1352041193
Not satisfied with the quality,2,40,41,1352116946
Fast delivery and excellent quality,1,27,38,1352192700
Exceeded my expectations,4,24,25,1352268453
"Poor build quality, stopped working",1,41,48,1352344207
"Poor build quality, stopped working",4,32,37,1352419960
"Terrible experience, would not recommend",5,13,22,1352495713
Packaging was damaged but product works,4,13,21,1352571467
Very good quality and value for money,3,3,3,1352647220
"Average product, nothing special",4,47,48,1352722974
"Terrible experience, would not recommend",4,0,8,1352798727
Very good quality and value for money,4,3,3,1352874480
"Average product, nothing special",5,1,6,1352950234
Not satisfied with the quality,3,6,22,1353025987
Packaging was damaged but product works,5,0,1,1353101740
"Terrible experience, would not recommend",5,23,48,1353177494
Decent product for the price,2,16,23,1353253247
Not satisfied with the quality,1,12,39,1353329001
Very good quality and value for money,2,8,30,1353404754
"Terrible experience, would not recommend",1,14,46,1353480507
"Terrible experience, would not recommend",1,24,30,1353556261
Fast delivery and excellent quality,4,34,46,1353632014
"Great product, works perfectly",1,23,39,1353707768
Not satisfied with the quality,3,32,47,1353783521
"Terrible experience, would not recommend",5,15,42,1353859274
"Poor build quality, stopped working",1,7,33,1353935028
"Poor build quality, stopped working",5,22,23,1354010781
"Great product, works perfectly",3,44,48,1354086535
"Terrible experience, would not recommend",2,7,25,1354162288
Decent product for the price,4,0,15,1354238041
"Great product, works perfectly",4,13,46,1354313795
"Great product, works perfectly",5,10,12,1354389548
Very good quality and value for money,5,4,14,1354465302
Very good quality and value for money,5,20,26,1354541055
Exceeded my expectations,3,2,3,1354616808
Not satisfied with the quality,2,14,15,1354692562
"Average product, nothing special",5,26,29,1354768315
"Great product, works perfectly",5,15,43,1354844068
Very good quality and value for money,5,18,29,1354919822
Packaging was damaged but product works,3,5,35,1354995575
Exceeded my expectations,3,2,2,1355071329
"Terrible experience, would not recommend",5,0,21,1355147082
Not satisfied with the quality,3,43,48,1355222835
"Terrible experience, would not recommend",5,17,21,1355298589
Exceeded my expectations,5,15,49,1355374342
Fast delivery and excellent quality,3,11,49,1355450096
"Poor build quality, stopped working",5,19,48,1355525849
Not satisfied with the quality,5,7,11,1355601602
"Poor build quality, stopped working",2,0,20,1355677356
Packaging was damaged but product works,5,1,3,1355753109
"Terrible experience, would not recommend",4,20,30,1355828863
Fast delivery and excellent quality,5,38,43,1355904616
Packaging was damaged but product works,3,14,30,1355980369
"Average product, nothing special",5,21,22,1356056123
"Terrible experience, would not recommend",3,12,19,1356131876
Exceeded my expectations,1,12,14,1356207630
Fast delivery and excellent quality,5,8,22,1356283383
Not satisfied with the quality,1,23,27,1356359136
Fast delivery and excellent quality,3,14,15,1356434890
"Terrible experience, would not recommend",5,35,36,1356510643
Very good quality and value for money,5,12,20,1356586396
Packaging was damaged but product works,4,10,14,1356662150
Fast delivery and excellent quality,4,11,16,1356737903
"Poor build quality, stopped working",3,36,49,1356813657
Packaging was damaged but product works,3,6,36,1356889410
"Poor build quality, stopped working",3,7,12,1356965163
Fast delivery and excellent quality,4,4,18,1357040917
Very good quality and value for money,5,8,29,1357116670
Packaging was damaged but product works,5,13,44,1357192424
Exceeded my expectations,5,11,17,1357268177
Packaging was damaged but product works,1,3,13,1357343930
Not satisfied with the quality,4,16,35,1357419684
Fast delivery and excellent quality,1,28,35,1357495437
"Average product, nothing special",4,0,19,1357571191
"Terrible experience, would not recommend",3,1,18,1357646944
"Great product, works perfectly",5,3,44,1357722697
Decent product for the price,3,23,43,1357798451
"Average product, nothing special",2,4,6,1357874204
"Poor build quality, stopped working",2,32,43,1357949957
Exceeded my expectations,5,2,3,1358025711
Exceeded my expectations,4,0,33,1358101464
Decent product for the price,2,0,1,1358177218
Very good quality and value for money,1,2,4,1358252971
Not satisfied with the quality,5,2,9,1358328724
"Terrible experience, would not recommend",1,14,31,1358404478
"Average product, nothing special",5,30,41,1358480231
"Great product, works perfectly",5,15,40,1358555985
Packaging was damaged but product works,1,9,12,1358631738
Decent product for the price,1,28,38,1358707491
Very good quality and value for money,5,2,4,1358783245
Exceeded my expectations,3,5,9,1358858998
"Great product, works perfectly",3,0,9,1358934752
Exceeded my expectations,5,21,37,1359010505
Fast delivery and excellent quality,5,23,26,1359086258
Decent product for the price,5,16,20,1359162012
Very good quality and value for money,5,4,7,1359237765
Packaging was damaged but product works,3,0,0,1359313519
"Poor build quality, stopped working",1,18,27,1359389272
Very good quality and value for money,5,10,48,1359465025
"Terrible experience, would not recommend",4,6,38,1359540779
Packaging was damaged but product works,3,9,13,1359616532
"Average product, nothing special",5,6,20,1359692285
Very good quality and value for money,2,4,29,1359768039
Packaging was damaged but product works,4,11,20,1359843792
"Average product, nothing special",1,47,48,1359919546
Very good quality and value for money,4,8,8,1359995299
"Great product, works perfectly",1,2,16,1360071052
"Poor build quality, stopped working",2,3,4,1360146806
"Great product, works perfectly",2,14,30,1360222559
"Terrible experience, would not recommend",4,4,39,1360298313
Packaging was damaged but product works,5,12,37,1360374066
"Average product, nothing special",4,11,42,1360449819
Fast delivery and excellent quality,5,4,18,1360525573
Very good quality and value for money,3,5,35,1360601326
Fast delivery and excellent quality,3,6,49,1360677080
Very good quality and value for money,5,25,32,1360752833
"Terrible experience, would not recommend",2,9,12,1360828586
Fast delivery and excellent quality,5,7,13,1360904340
"Average product, nothing special",1,8,32,1360980093
Not satisfied with the quality,5,26,28,1361055847
"Great product, works perfectly",1,3,42,1361131600
"Average product, nothing special",5,20,48,1361207353
Exceeded my expectations,4,30,35,1361283107
Decent product for the price,5,20,43,1361358860
"Terrible experience, would not recommend",1,7,9,1361434613
"Poor build quality, stopped working",4,24,30,1361510367
Very good quality and value for money,5,4,5,1361586120
"Average product, nothing special",4,0,0,1361661874
Fast delivery and excellent quality,4,2,6,1361737627
Decent product for the price,4,16,26,1361813380
Not satisfied with the quality,4,10,20,1361889134
Exceeded my expectations,4,8,27,1361964887
Fast delivery and excellent quality,4,4,15,1362040641
"Great product, works perfectly",5,41,45,1362116394
Not satisfied with the quality,1,14,22,1362192147
Decent product for the price,3,13,19,1362267901
Packaging was damaged but product works,5,3,37,1362343654
Packaging was damaged but product works,5,20,24,1362419408
Decent product for the price,4,19,27,1362495161
Packaging was damaged but product works,4,1,4,1362570914
"Terrible experience, would not recommend",3,11,20,1362646668
"Average product, nothing special",2,0,17,1362722421
Very good quality and value for money,4,23,46,1362798174
"Average product, nothing special",3,3,5,1362873928
Exceeded my expectations,4,4,28,1362949681
"Average product, nothing special",1,5,18,1363025435
"Average product, nothing special",5,29,32,1363101188
"Great product, works perfectly",5,0,0,1363176941
Very good quality and value for money,4,23,44,1363252695
"Average product, nothing special",4,2,2,1363328448
Very good quality and value for money,3,39,41,1363404202
"Poor build quality, stopped working",5,6,20,1363479955
Packaging was damaged but product works,4,15,34,1363555708
Fast delivery and excellent quality,2,14,40,1363631462
"Great product, works perfectly",5,22,39,1363707215
Packaging was damaged but product works,5,0,2,1363782969
Very good quality and value for money,5,11,24,1363858722
Packaging was damaged but product works,5,14,44,1363934475
"Average product, nothing special",4,28,37,1364010229
Fast delivery and excellent quality,3,44,44,1364085982
"Average product, nothing special",5,10,19,1364161736
Exceeded my expectations,5,20,43,1364237489
"Average product, nothing special",1,14,44,1364313242
Fast delivery and excellent quality,1,13,33,1364388996
Not satisfied with the quality,3,9,20,1364464749
"Poor build quality, stopped working",5,43,47,1364540502
Very good quality and value for money,5,15,22,1364616256
"Poor build quality, stopped working",2,1,5,1364692009
Exceeded my expectations,4,3,12,1364767763
"Poor build quality, stopped working",3,26,48,1364843516
Packaging was damaged but product works,5,22,22,1364919269
Decent product for the price,5,8,8,1364995023
"Great product, works perfectly",5,8,16,1365070776
Fast delivery and excellent quality,4,0,1,1365146530
"Great product, works perfectly",3,10,18,1365222283
Fast delivery and excellent quality,3,10,18,1365298036
Very good quality and value for money,1,6,6,1365373790
"Poor build quality, stopped working",5,41,41,1365449543
Very good quality and value for money,5,3,41,1365525297
"Average product, nothing special",5,4,19,1365601050
"Average product, nothing special",5,4,8,1365676803
"Great product, works perfectly",4,10,16,1365752557
"Terrible experience, would not recommend",5,8,26,1365828310
"Terrible experience, would not recommend",5,27,46,1365904064
Decent product for the price,5,1,1,1365979817
"Terrible experience, would not recommend",2,29,35,1366055570
Exceeded my expectations,4,3,18,1366131324
Packaging was damaged but product works,2,1,16,1366207077
Packaging was damaged but product works,5,2,4,1366282830
"Average product, nothing special",4,20,38,1366358584
"Terrible experience, would not recommend",2,5,17,1366434337
Decent product for the price,4,2,6,1366510091
Fast delivery and excellent quality,4,11,16,1366585844
"Average product, nothing special",3,4,38,1366661597
Very good quality and value for money,2,8,35,1366737351
"Terrible experience, would not recommend",4,19,39,1366813104
"Average product, nothing special",4,27,44,1366888858
"Terrible experience, would not recommend",5,1,3,1366964611
Exceeded my expectations,4,17,37,1367040364
Decent product for the price,5,18,24,1367116118
"Great product, works perfectly",4,2,4,1367191871
Not satisfied with the quality,4,8,29,1367267625
Decent product for the price,5,3,11,1367343378
"Terrible experience, would not recommend",3,3,3,1367419131
Very good quality and value for money,2,16,23,1367494885
Very good quality and value for money,1,16,28,1367570638
"Great product, works perfectly",5,6,8,1367646391
"Poor build quality, stopped working",4,2,3,1367722145
Very good quality and value for money,5,1,23,1367797898
"Average product, nothing special",2,8,13,1367873652
Very good quality and value for money,2,0,4,1367949405
Not satisfied with the quality,1,4,17,1368025158
"Great product, works perfectly",3,14,41,1368100912
"Average product, nothing special",4,14,18,1368176665
"Terrible experience, would not recommend",3,2,11,1368252419
Decent product for the price,3,2,17,1368328172
"Great product, works perfectly",5,5,16,1368403925
Not satisfied with the quality,3,3,29,1368479679
Packaging was damaged but product works,4,23,23,1368555432
Not satisfied with the quality,5,10,10,1368631186
Fast delivery and excellent quality,3,10,34,1368706939
Fast delivery and excellent quality,4,4,22,1368782692
Packaging was damaged but product works,5,0,16,1368858446
Exceeded my expectations,5,0,0,1368934199
Very good quality and value for money,2,8,14,1369009953
Decent product for the price,5,16,31,1369085706
"Poor build quality, stopped working",4,5,8,1369161459
"Poor build quality, stopped working",3,0,14,1369237213
Decent product for the price,4,2,27,1369312966
Not satisfied with the quality,5,14,23,1369388719
Packaging was damaged but product works,4,25,34,1369464473
Packaging was damaged but product works,3,20,21,1369540226
"Terrible experience, would not recommend",4,25,26,1369615980
"Great product, works perfectly",2,9,18,1369691733
"Average product, nothing special",1,7,44,1369767486
Fast delivery and excellent quality,2,11,11,1369843240
"Poor build quality, stopped working",2,14,19,1369918993
Very good quality and value for money,2,0,0,1369994747
"Average product, nothing special",2,8,20,1370070500
Not satisfied with the quality,4,9,48,1370146253
"Terrible experience, would not recommend",2,19,44,1370222007
"Average product, nothing special",3,0,0,1370297760
"Terrible experience, would not recommend",5,8,9,1370373514
"Poor build quality, stopped working",4,46,46,1370449267
"Poor build quality, stopped working",4,22,31,1370525020
Very good quality and value for money,2,0,38,1370600774
Packaging was damaged but product works,2,1,21,1370676527
Not satisfied with the quality,1,13,17,1370752281
Exceeded my expectations,2,7,47,1370828034
Decent product for the price,3,37,45,1370903787
Very good quality and value for money,2,11,31,1370979541
"Poor build quality, stopped working",1,25,26,1371055294
"Great product, works perfectly",2,26,27,1371131047
Packaging was damaged but product works,4,14,17,1371206801
Decent product for the price,2,0,38,1371282554
"Great product, works perfectly",3,42,48,1371358308
Very good quality and value for money,4,27,28,1371434061
"Average product, nothing special",4,2,17,1371509814
Exceeded my expectations,1,17,43,1371585568
"Terrible experience, would not recommend",5,3,7,1371661321
Decent product for the price,4,27,30,1371737075
Decent product for the price,1,33,33,1371812828
Very good quality and value for money,5,4,6,1371888581
Decent product for the price,5,24,35,1371964335
"Terrible experience, would not recommend",1,6,17,1372040088
"Terrible experience, would not recommend",3,7,37,1372115842
"Great product, works perfectly",5,2,8,1372191595
"Average product, nothing special",5,5,8,1372267348
"Terrible experience, would not recommend",2,41,45,1372343102
Exceeded my expectations,2,5,7,1372418855
Decent product for the price,3,28,34,1372494609
"Great product, works perfectly",4,0,17,1372570362
"Poor build quality, stopped working",4,4,4,1372646115
"Great product, works perfectly",3,13,13,1372721869
Exceeded my expectations,4,2,27,1372797622
